Frequency;CurrentSet;Current;Voltage Drop;Crack size
30.0;100.0;161.0;1732.0;0.5
30.0;100.0;162.0;1746.0;0.5
30.0;100.0;164.0;1760.0;0.5
30.0;100.0;165.0;1771.0;0.5
30.0;100.0;166.0;1780.0;0.5
30.0;100.0;167.0;1788.0;0.5
30.0;100.0;168.0;1793.0;0.5
30.0;100.0;169.0;1799.0;0.5
30.0;100.0;169.0;1802.0;0.5
30.0;100.0;169.0;1804.0;0.5
30.0;100.0;169.0;1806.0;0.5
30.0;100.0;169.0;1808.0;0.5
30.0;100.0;170.0;1808.0;0.5
30.0;100.0;170.0;1811.0;0.5
30.0;100.0;170.0;1811.0;0.5
30.0;100.0;170.0;1810.0;0.5
30.0;100.0;170.0;1810.0;0.5
30.0;100.0;170.0;1811.0;0.5
30.0;100.0;170.0;1812.0;0.5
30.0;100.0;171.0;1812.0;0.5
30.0;100.0;171.0;1813.0;0.5
30.0;100.0;170.0;1812.0;0.5
30.0;100.0;170.0;1814.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;171.0;1815.0;0.5
30.0;100.0;170.0;1816.0;0.5
30.0;100.0;170.0;1815.0;0.5
30.0;100.0;170.0;1814.0;0.5
30.0;100.0;170.0;1814.0;0.5
30.0;100.0;171.0;1813.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;171.0;1815.0;0.5
30.0;100.0;171.0;1815.0;0.5
30.0;100.0;172.0;1816.0;0.5
30.0;100.0;171.0;1817.0;0.5
30.0;100.0;171.0;1816.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;170.0;1815.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;171.0;1815.0;0.5
30.0;100.0;171.0;1815.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;171.0;1814.0;0.5
30.0;100.0;170.0;1815.0;0.5
30.0;100.0;170.0;1815.0;0.5
30.0;100.0;171.0;1817.0;0.5
30.0;100.0;169.0;1817.0;0.5
30.0;100.0;170.0;1817.0;0.5
30.0;100.0;171.0;1817.0;0.5
30.0;100.0;171.0;1818.0;0.5
30.0;100.0;171.0;1819.0;0.5
30.0;100.0;171.0;1818.0;0.5
